点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
35,35kV,35kV311备用线,311-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,311-27地刀,311-27地刀
36,35kV,35kV311备用线,311开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,311手车工作位置,311手车工作位置
37,35kV,35kV313备用线,313开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,313开关,313开关
38,35kV,35kV313备用线,313-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,313-27地刀,313-27地刀
39,35kV,35kV313备用线,313开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,313手车工作位置,313手车工作位置
40,35kV,35kV315备用线,315开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,315开关,315开关
41,35kV,35kV315备用线,315-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,315-27地刀,315-27地刀
42,35kV,35kV315备用线,315开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,315手车工作位置,315手车工作位置
43,35kV,35kV马营线,317开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,317开关,317开关
44,35kV,35kV马营线,317-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,317-27地刀,317-27地刀
45,35kV,35kV马营线,317开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,317手车工作位置,317手车工作位置
46,35kV,35kV马城线,312开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,312开关,312开关
47,35kV,35kV马城线,312-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,312-27地刀,312-27地刀
48,35kV,35kV马城线,312开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,312手车工作位置,312手车工作位置
49,35kV,35kV314备用线,314开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,314开关,314开关
50,35kV,35kV314备用线,314-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,314-27地刀,314-27地刀
51,35kV,35kV314备用线,314开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,314手车工作位置,314手车工作位置
52,35kV,35kV316备用线,316开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,316开关,316开关
53,35kV,35kV316备用线,316-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,316-27地刀,316-27地刀
54,35kV,35kV316备用线,316开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,316手车工作位置,316手车工作位置
55,35kV,35kV318备用线,318开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,318开关,318开关
56,35kV,35kV318备用线,318-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,318-27地刀,318-27地刀
57,35kV,35kV318备用线,318开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,318手车工作位置,318手车工作位置
58,35kV,35kV345分段,345开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,345母联开关,345母联开关
59,35kV,35kV345分段,345开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,345手车工作位置,345手车工作位置
60,35kV,35kV345分段,345-5刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,345-5刀闸,345-5刀闸
61,10kV,10kV圈宏线,151开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,151负荷开关,151负荷开关
62,10kV,10kV圈宏线,151-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,151-27地刀,151-27地刀
63,10kV,10kV圈宏线,151开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,151手车工作位置,151手车工作位置
64,10kV,10kV银海线,153开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,153负荷开关,153负荷开关
65,10kV,10kV银海线,153-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,153-27地刀,153-27地刀
66,10kV,10kV银海线,153开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,153手车工作位置,153手车工作位置
67,10kV,10kV落垡线,155开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,155负荷开关,155负荷开关
68,10kV,10kV落垡线,155-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,155-27地刀,155-27地刀
69,10kV,10kV落垡线,155开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,155手车工作位置,155手车工作位置
70,10kV,10kV157备用线,157开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,157负荷开关,157负荷开关
71,10kV,10kV157备用线,157-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,157-27地刀,157-27地刀
72,10kV,10kV157备用线,157开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,157手车工作位置,157手车工作位置
73,10kV,10kV奥朗斯线,159开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,159负荷开关,159负荷开关
74,10kV,10kV奥朗斯线,159-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,159-27地刀,159-27地刀
75,10kV,10kV奥朗斯线,159开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,159手车工作位置,159手车工作位置
76,10kV,10kV董标垡线,161开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,161负荷开关,161负荷开关
77,10kV,10kV董标垡线,161-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,161-27地刀,161-27地刀
78,10kV,10kV董标垡线,161开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,161手车工作位置,161手车工作位置
79,10kV,10kV150接地变,150开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,150负荷开关,150负荷开关
80,10kV,10kV150接地变,150-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,150-27地刀,150-27地刀
81,10kV,10kV150接地变,150开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,150手车工作位置,150手车工作位置
82,10kV,10kV165备用线,165开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,165负荷开关,165负荷开关
83,10kV,10kV165备用线,165-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,165-27地刀,165-27地刀
84,10kV,10kV165备用线,165开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,165手车工作位置,165手车工作位置
85,10kV,10kV马圈东线,152开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,152负荷开关,152负荷开关
86,10kV,10kV马圈东线,152-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,152-27地刀,152-27地刀
87,10kV,10kV马圈东线,152开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,152手车工作位置,152手车工作位置
88,10kV,10kV马圈西线,154开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,154负荷开关,154负荷开关
89,10kV,10kV马圈西线,154-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,154-27地刀,154-27地刀
90,10kV,10kV马圈西线,154开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,154手车工作位置,154手车工作位置
91,10kV,10kV和瑞园线,156开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,156负荷开关,156负荷开关
92,10kV,10kV和瑞园线,156-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,156-27地刀,156-27地刀
93,10kV,10kV和瑞园线,156开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,156手车工作位置,156手车工作位置
94,10kV,10kV汇利线,158开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,158负荷开关,158负荷开关
95,10kV,10kV汇利线,158-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,158-27地刀,158-27地刀
96,10kV,10kV汇利线,158开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,158手车工作位置,158手车工作位置
97,10kV,10kV162备用线,162开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,162负荷开关,162负荷开关
98,10kV,10kV162备用线,162-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,162-27地刀,162-27地刀
99,10kV,10kV162备用线,162开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,162手车工作位置,162手车工作位置
100,10kV,10kV颐西湖线,164开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,164负荷开关,164负荷开关
101,10kV,10kV颐西湖线,164-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,164-27地刀,164-27地刀
102,10kV,10kV颐西湖线,164开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,164手车工作位置,164手车工作位置
103,10kV,10kV160接地变,160开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,160负荷开关,160负荷开关
104,10kV,10kV160接地变,160-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,160-27地刀,160-27地刀
105,10kV,10kV160接地变,160开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,160手车工作位置,160手车工作位置
106,10kV,10kV168备用线,168开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,168负荷开关,168负荷开关
107,10kV,10kV168备用线,168-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,168-27地刀,168-27地刀
108,10kV,10kV168备用线,168开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,168手车工作位置,168手车工作位置
109,10kV,10kV2061电容器,2061开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2061电容器开关,2061电容器开关
110,10kV,10kV2061电容器,2061-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061-27地刀,2061-27地刀
111,10kV,10kV2061电容器,2061开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061手车工作位置,2061手车工作位置
112,10kV,10kV2061电容器,2061-1刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061-1刀闸,2061-1刀闸
113,10kV,10kV2061电容器,2061-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061-17地刀,2061-17地刀
114,10kV,10kV2061电容器,2061-3刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061-3刀闸,2061-3刀闸
115,10kV,10kV2061电容器,2061-37接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2061-37地刀,2061-37地刀
116,10kV,10kV2062电容器,2062开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2062电容器开关,2062电容器开关
117,10kV,10kV2062电容器,2062-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062-27地刀,2062-27地刀
118,10kV,10kV2062电容器,2062开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062手车工作位置,2062手车工作位置
119,10kV,10kV2062电容器,2062-1刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062-1刀闸,2062-1刀闸
120,10kV,10kV2062电容器,2062-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062-17地刀,2062-17地刀
121,10kV,10kV2062电容器,2062-3刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062-3刀闸,2062-3刀闸
122,10kV,10kV2062电容器,2062-37接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2062-37地刀,2062-37地刀
123,10kV,10kV2071电容器,2071开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2071电容器开关,2071电容器开关
124,10kV,10kV2071电容器,2071-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071-27地刀,2071-27地刀
125,10kV,10kV2071电容器,2071开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071手车工作位置,2071手车工作位置
126,10kV,10kV2071电容器,2071-1刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071-1刀闸,2071-1刀闸
127,10kV,10kV2071电容器,2071-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071-17地刀,2071-17地刀
128,10kV,10kV2071电容器,2071-3刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071-3刀闸,2071-3刀闸
129,10kV,10kV2071电容器,2071-37接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2071-37地刀,2071-37地刀
130,10kV,10kV2072电容器,2072开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2072电容器开关,2072电容器开关
131,10kV,10kV2072电容器,2072-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072-27地刀,2072-27地刀
132,10kV,10kV2072电容器,2072开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072手车工作位置,2072手车工作位置
133,10kV,10kV2072电容器,2072-1刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072-1刀闸,2072-1刀闸
134,10kV,10kV2072电容器,2072-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072-17地刀,2072-17地刀
135,10kV,10kV2072电容器,2072-3刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072-3刀闸,2072-3刀闸
136,10kV,10kV2072电容器,2072-37接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2072-37地刀,2072-37地刀
137,10kV,10kV245分段,245开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,245母联开关,245母联开关
138,10kV,10kV245分段,245开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,245手车工作位置,245手车工作位置
139,10kV,10kV245分段,245-5手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,245-5母联刀闸,245-5母联刀闸
140,10kV,10kV208站用变,208-0刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,208-0刀闸,208-0刀闸
141,10kV,10kV209站用变,209-0开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,209-0手车工作位置,209-0手车工作位置
142,10kV,10kV4母线,24-9PT开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,24-9PT手车工作位置,24-9PT手车工作位置
143,10kV,10kV5母线,25-9PT开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,25-9PT手车工作位置,25-9PT手车工作位置
144,35kV,35kV4母线,34-9PT开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,34-9PT手车工作位置,34-9PT手车工作位置
145,35kV,35kV5母线,35-9PT开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,35-9PT手车工作位置,35-9PT手车工作位置
146,110kV,110kV高马一线,111开关机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,111机构箱远方/就地,111机构箱远方/就地
147,110kV,110kV高马一线,111-2刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,111-2及-4机构箱远方/就地,111-2及-4机构箱远方/就地
148,110kV,110kV高马二线,112开关机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,112机构箱远方/就地,112机构箱远方/就地
149,110kV,110kV高马二线,112-2刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,112-2及-5机构箱远方/就地,112-2及-5机构箱远方/就地
150,110kV,110kV145分段,145开关机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,145机构箱远方/就地,145机构箱远方/就地
151,110kV,1号主变110kV侧,101-0刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,101-0机构箱远方/就地,101-0机构箱远方/就地
152,110kV,2号主变110kV侧,102-0刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,102-0机构箱远方/就地,102-0机构箱远方/就地
153,110kV,1号主变110kV侧,1-7刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,1-7机构箱远方/就地,1-7机构箱远方/就地
154,110kV,2号主变110kV侧,2-7刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,2-7机构箱远方/就地,2-7机构箱远方/就地
155,110kV,110kV高马一线,111测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,111测控屏远方/就地,111测控屏远方/就地
156,110kV,110kV高马二线,112测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,112测控屏远方/就地,112测控屏远方/就地
157,35kV,1号主变35kV侧,301测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,301测控屏远方/就地,301测控屏远方/就地
158,10kV,1号主变10kV侧,201测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,201测控屏远方/就地,201测控屏远方/就地
159,35kV,2号主变35kV侧,302测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,302测控屏远方/就地,302测控屏远方/就地
160,10kV,2号主变10kV侧,202测控,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,202测控屏远方/就地,202测控屏远方/就地
161,110kV,110kV145分段,145分段保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,145测控屏远方/就地,145测控屏远方/就地
162,35kV,35kV345分段,345分段保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,345测控屏远方/就地,345测控屏远方/就地
163,10kV,10kV245分段,245分段保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,245测控屏远方/就地,245测控屏远方/就地
164,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-2电机保护空开跳闸,111-2电机保护空开跳闸
165,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-2电机控制回路带电,111-2电机控制回路带电
166,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,111-2及-17运行,111-2及-17运行
167,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,111线路侧有电,111线路侧有电
168,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-2控制回路保护空开跳闸,111-2控制回路保护空开跳闸
169,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111控制回路断线,111控制回路断线
170,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111加热照明空开保护跳闸,111加热照明空开保护跳闸
171,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111加热器故障,111加热器故障
172,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111SF6气体压力低报警,111SF6气体压力低报警
173,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111SF6气体压力低闭锁,111SF6气体压力低闭锁
174,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,111弹簧未储能,111弹簧未储能
175,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111电机保护开关跳闸,111电机保护开关跳闸
176,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-4电机保护空开跳闸,111-4电机保护空开跳闸
177,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-4电机控制回路带电,111-4电机控制回路带电
178,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,111-4及-47运行,111-4及-47运行
179,110kV,110kV高马一线,111开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,111-4控制回路保护空开跳闸,111-4控制回路保护空开跳闸
180,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-2电机保护空开跳闸,112-2电机保护空开跳闸
181,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-2电机控制回路带电,112-2电机控制回路带电
182,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,112-2及-17运行,112-2及-17运行
183,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,一般遥信,是,112线路侧有电,112线路侧有电
184,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112-2控制回路保护空开跳闸,112-2控制回路保护空开跳闸
185,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112控制回路断线,112控制回路断线
186,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112加热照明空开保护跳闸,112加热照明空开保护跳闸
187,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112加热器故障,112加热器故障
188,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112SF6气体压力低报警,112SF6气体压力低报警
189,110kV,110kV高马二线,112开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,112SF6气体压力低闭锁,112SF6气体压力低闭锁
