主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
89,10kV海13备用线,海13线路保护,海13线路测保停用重合闸软压板投入,海13线路测保ESP-3124A停用重合闸软压板投入,1666.0,海13线路测保停用重合闸软压板投入,
90,10kV海14备用线,海14开关,海14,海14,89.0,海14,
91,10kV海14备用线,海14线路保护,海14线路测保停用重合闸软压板投入,海14线路测保ESP-3124A停用重合闸软压板投入,1691.0,海14线路测保停用重合闸软压板投入,
92,10kV海15备用线,海15开关,海15,海15,92.0,海15,
93,10kV海15备用线,海15线路保护,海15线路测保停用重合闸软压板投入,海15线路测保ESP-3124A停用重合闸软压板投入,1716.0,海15线路测保停用重合闸软压板投入,
94,10kV海16备用线,海16开关,海16,海16,95.0,海16,
95,10kV海16备用线,海16线路保护,海16线路测保停用重合闸软压板投入,海16线路测保ESP-3124A停用重合闸软压板投入,1741.0,海16线路测保停用重合闸软压板投入,
96,10kV海17备用线,海17开关,海17,海17,98.0,海17,
97,10kV海17备用线,海17线路保护,海17线路测保停用重合闸软压板投入,海17线路测保ESP-3124A停用重合闸软压板投入,1766.0,海17线路测保停用重合闸软压板投入,
98,10kV海18备用线,海18开关,海18,海18,101.0,海18,
99,10kV海18备用线,海18线路保护,海18线路测保停用重合闸软压板投入,海18线路测保ESP-3124A停用重合闸软压板投入,1791.0,海18线路测保停用重合闸软压板投入,
100,10kV海19备用线,海19开关,海19,海19,104.0,海19,
101,10kV海19备用线,海19线路保护,海19线路测保停用重合闸软压板投入,海19线路测保ESP-3124A停用重合闸软压板投入,1816.0,海19线路测保停用重合闸软压板投入,
102,10kV海1甲备用线,海1甲开关,海1甲,海1甲,107.0,海1甲,
103,10kV海1甲备用线,海1甲线路保护,海1甲线路测保停用重合闸软压板投入,海1甲线路测保ESP-3124A停用重合闸软压板投入,1841.0,海1甲线路测保停用重合闸软压板投入,
104,10kV海1乙备用线,海1乙开关,海1乙,海1乙,110.0,海1乙,
105,10kV海1乙备用线,海1乙线路保护,海1乙线路测保停用重合闸软压板投入,海1乙线路测保ESP-3124A停用重合闸软压板投入,1866.0,海1乙线路测保停用重合闸软压板投入,
106,10kV海1丙备用线,海1丙开关,海1丙,海1丙,113.0,海1丙,
107,10kV海1丙备用线,海1丙线路保护,海1丙线路测保停用重合闸软压板投入,海1丙线路测保ESP-3124A停用重合闸软压板投入,1891.0,海1丙线路测保停用重合闸软压板投入,
108,10kV海21备用线,海21开关,海21,海21,116.0,海21,
109,10kV海21备用线,海21线路保护,海21线路测保停用重合闸软压板投入,海21线路测保ESP-3124A停用重合闸软压板投入,1916.0,海21线路测保停用重合闸软压板投入,
110,10kV海22备用线,海22开关,海22,海22,119.0,海22,
111,10kV海22备用线,海22线路保护,海22线路测保停用重合闸软压板投入,海22线路测保ESP-3124A停用重合闸软压板投入,1941.0,海22线路测保停用重合闸软压板投入,
112,10kV海23备用线,海23开关,海23,海23,122.0,海23,
113,10kV海23备用线,海23线路保护,海23线路测保停用重合闸软压板投入,海23线路测保ESP-3124A停用重合闸软压板投入,1966.0,海23线路测保停用重合闸软压板投入,
114,10kV海24备用线,海24开关,海24,海24,125.0,海24,
115,10kV海24备用线,海24线路保护,海24线路测保停用重合闸软压板投入,海24线路测保ESP-3124A停用重合闸软压板投入,1991.0,海24线路测保停用重合闸软压板投入,
116,10kV海25备用线,海25开关,海25,海25,128.0,海25,
117,10kV海25备用线,海25线路保护,海25线路测保停用重合闸软压板投入,海25线路测保ESP-3124A停用重合闸软压板投入,2016.0,海25线路测保停用重合闸软压板投入,
118,10kV海26备用线,海26开关,海26,海26,131.0,海26,
119,10kV海26备用线,海26线路保护,海26线路测保停用重合闸软压板投入,海26线路测保ESP-3124A停用重合闸软压板投入,2041.0,海26线路测保停用重合闸软压板投入,
120,10kV海31备用线,海31开关,海31,海31,134.0,海31,
121,10kV海31备用线,海31线路保护,海31线路测保停用重合闸软压板投入,海31线路测保ESP-3124A停用重合闸软压板投入,2066.0,海31线路测保停用重合闸软压板投入,
122,10kV海32备用线,海32开关,海32,海32,137.0,海32,
123,10kV海32备用线,海32线路保护,海32线路测保停用重合闸软压板投入,海32线路测保ESP-3124A停用重合闸软压板投入,2091.0,海32线路测保停用重合闸软压板投入,
124,10kV海33备用线,海33开关,海33,海33,140.0,海33,
125,10kV海33备用线,海33线路保护,海33线路测保停用重合闸软压板投入,海33线路测保ESP-3124A停用重合闸软压板投入,2116.0,海33线路测保停用重合闸软压板投入,
126,10kV海34备用线,海34开关,海34,海34,143.0,海34,
127,10kV海34备用线,海34线路保护,海34线路测保停用重合闸软压板投入,海34线路测保ESP-3124A停用重合闸软压板投入,2141.0,海34线路测保停用重合闸软压板投入,
128,10kV海35备用线,海35开关,海35,海35,146.0,海35,
129,10kV海35备用线,海35线路保护,海35线路测保停用重合闸软压板投入,海35线路测保ESP-3124A停用重合闸软压板投入,2166.0,海35线路测保停用重合闸软压板投入,
130,10kV海36备用线,海36开关,海36,海36,149.0,海36,
131,10kV海36备用线,海36线路保护,海36线路测保停用重合闸软压板投入,海36线路测保ESP-3124A停用重合闸软压板投入,2191.0,海36线路测保停用重合闸软压板投入,
132,10kV海41备用线,海41开关,海41,海41,152.0,海41,
133,10kV海41备用线,海41线路保护,海41线路测保停用重合闸软压板投入,海41线路测保ESP-3124A停用重合闸软压板投入,2216.0,海41线路测保停用重合闸软压板投入,
134,10kV海42备用线,海42开关,海42,海42,155.0,海42,
135,10kV海42备用线,海42线路保护,海42线路测保停用重合闸软压板投入,海42线路测保ESP-3124A停用重合闸软压板投入,2241.0,海42线路测保停用重合闸软压板投入,
136,10kV海43备用线,海43开关,海43,海43,158.0,海43,
137,10kV海43备用线,海43线路保护,海43线路测保停用重合闸软压板投入,海43线路测保ESP-3124A停用重合闸软压板投入,2266.0,海43线路测保停用重合闸软压板投入,
138,10kV海44备用线,海44开关,海44,海44,161.0,海44,
139,10kV海44备用线,海44线路保护,海44线路测保停用重合闸软压板投入,海44线路测保ESP-3124A停用重合闸软压板投入,2291.0,海44线路测保停用重合闸软压板投入,
140,10kV海45备用线,海45开关,海45,海45,164.0,海45,
141,10kV海45备用线,海45线路保护,海45线路测保停用重合闸软压板投入,海45线路测保ESP-3124A停用重合闸软压板投入,2316.0,海45线路测保停用重合闸软压板投入,
142,10kV海46备用线,海46开关,海46,海46,167.0,海46,
143,10kV海46备用线,海46线路保护,海46线路测保停用重合闸软压板投入,海46线路测保ESP-3124A停用重合闸软压板投入,2341.0,海46线路测保停用重合闸软压板投入,
144,10kV海47备用线,海47开关,海47,海47,170.0,海47,
145,10kV海47备用线,海47线路保护,海47线路测保停用重合闸软压板投入,海47线路测保ESP-3124A停用重合闸软压板投入,2366.0,海47线路测保停用重合闸软压板投入,
146,10kV海48备用线,海48开关,海48,海48,173.0,海48,
147,10kV海48备用线,海48线路保护,海48线路测保停用重合闸软压板投入,海48线路测保ESP-3124A停用重合闸软压板投入,2391.0,海48线路测保停用重合闸软压板投入,
148,10kV海49备用线,海49开关,海49,海49,176.0,海49,
149,10kV海49备用线,海49线路保护,海49线路测保停用重合闸软压板投入,海49线路测保ESP-3124A停用重合闸软压板投入,2416.0,海49线路测保停用重合闸软压板投入,
150,10kV海4甲备用线,海4甲开关,海4甲,海4甲,179.0,海4甲,
151,10kV海4甲备用线,海4甲线路保护,海4甲线路测保停用重合闸软压板投入,海4甲线路测保ESP-3124A停用重合闸软压板投入,2441.0,海4甲线路测保停用重合闸软压板投入,
152,10kV海4乙备用线,海4乙开关,海4乙,海4乙,182.0,海4乙,
153,10kV海4乙备用线,海4乙线路保护,海4乙线路测保停用重合闸软压板投入,海4乙线路测保ESP-3124A停用重合闸软压板投入,2466.0,海4乙线路测保停用重合闸软压板投入,
154,10kV海4丙备用线,海4丙开关,海4丙,海4丙,185.0,海4丙,
155,10kV海4丙备用线,海4丙线路保护,海4丙线路测保停用重合闸软压板投入,海4丙线路测保ESP-3124A停用重合闸软压板投入,2491.0,海4丙线路测保停用重合闸软压板投入,
156,10kV2441分段,2441开关,2441,2441,192.0,2441,
157,10kV2441分段,2441分段保护,2441备自投软压板投入,备自投ESP-3125A软压板投入,2553.0,2441备自投软压板投入,
158,10kV2441分段,2441分段保护,2441分段保护ESP-3123A装置复归,2441分段保护ESP-3123A装置复归,10001.0,2441分段保护ESP-3123A装置复归,
159,10kV2442分段,2442开关,2442,2442,195.0,2442,
160,10kV2442分段,2442分段保护,2442备自投软压板投入,备自投ESP-3125A软压板投入,2591.0,2442备自投软压板投入,
161,10kV2442分段,2442分段保护,2442分段保护ESP-3123A装置复归,2442分段保护ESP-3123A装置复归,10002.0,2442分段保护ESP-3123A装置复归,
162,10kV2061电容器,2061开关,2061,2061,198.0,2061,
163,10kV2062电容器,2062开关,2062,2062,203.0,2062,
164,10kV2063电容器,2063开关,2063,2063,208.0,2063,
165,10kV2064电容器,2064开关,2064,2064,213.0,2064,
166,10kV2065电容器,2065开关,2065,2065,218.0,2065,
167,10kV2066电容器,2066开关,2066,2066,223.0,2066,
168,公用间隔,全站总复归,全站总复归,全站总复归,10000.0,全站总复归,
